Minister,Date,Name of Individual or Organisation,Purpose of Meeting
Sir Keir Starmer,2025-06-08,"Relativity Space, Google DeepMind",During London Tech Week reception to discuss opportunities relating to Artificial Intelligence including AI safety and investment in the AI talent taskforce
Sir Keir Starmer,2025-06-08,Revolut,During London Tech Week reception to discuss the UK's investment landscape
Sir Keir Starmer,2025-06-08,Nvidia,During London Tech Week reception to discuss the opportunities for building investment in the UK in Artificial Intelligence infrastructure
Sir Keir Starmer,2025-06-09,Families of World Central Kitchen aid workers,To meet bereaved families of the WCK aid workers killed in Gaza
Sir Keir Starmer,2025-06-10,"Prospect Union, GMB Union, Unite Union","During visit to Suffolk New College to discuss the Sizewell C Project and its creation of jobs in the local area, supply chains and UK investment in nuclear power"
Sir Keir Starmer,2025-06-10,"Families of victims of the Southport attack, Sefton Council",To discuss the families' Southport Town Hall gardens legacy renovation project
Sir Keir Starmer,2025-06-15,PSP Investments,During G7 Summit to discuss the UK as an investment destination
Sir Keir Starmer,2025-06-15,La Caisse de Dépôt et Placement du Québec (CDPQ),During G7 Summit to discuss the UK as an investment destination
Sir Keir Starmer,2025-06-15,Cameco,During G7 to discuss the UK as an investment destination
Sir Keir Starmer,2025-06-19,Amazon,Amazon's investment in the UK and Artificial Intelligence
Sir Keir Starmer,2025-06-23,"Lachlan Murdoch, Chairperson of News Corporation",To discuss the Government's activities and priorities
Sir Keir Starmer,2025-06-26,"Aviva, British Airways, CEBR, Chanel, DP World in the UK, Drax, Heathrow, Intuit, IHG, London Gatwick, NatWest Commercial and Institutional, Openreach, Port of Tyne, Sizewell C, SpireHealthcare, SSE, The King's Trust, Tata's Consultancy Services, North East Chamber of Commerce, Thames Valley Chamber of Commerce",British Chamber of Commerce's Business Council Q&A to engage with UK businesses on the Industrial Strategy and the Trade Strategy
Sir Keir Starmer,2025-06-26,"Nick Ferrari, Broadcaster, LBC",Social meeting to discuss the Government's activities and priorities
Sir Keir Starmer,2025-06-27,Nissan Motor Corporation,Introductory meeting with new CEO of Nissan to discuss the UK's industrial strategy
Sir Keir Starmer,2025-07-01,3 Dads Walking,To discuss how to raise awareness of youth suicide and policy on suicide prevention
Sir Keir Starmer,2025-07-02,"Nick Robinson, Presenter, BBC Radio 4's Today programme",To discuss the Government's priorities for the months ahead
Sir Keir Starmer,2025-07-03,"Andrew Marr, Political Editor, New Statesman and Oliver Shah, Associate Editor, The Sunday Times",To discuss the Government's priorities for the months ahead
Sir Keir Starmer,2025-07-07,Mastercard,"To discuss making the UK a good business destination, AI training, the Industrial Strategy"
Sir Keir Starmer,2025-07-08,"Chris Mason, Political Editor, BBC News and Hilary O'Neill, Editor, BBC's Question Time",To discuss the Government's priorities for the months ahead
Sir Keir Starmer,2025-07-14,"Tony Gallagher, Editor, The Times",To discuss The Government's priorities for the months ahead
Sir Keir Starmer,2025-07-15,"Idris Elba OBE, The King's Trust, Ndidi Okezie OBE, Faron Paul, Mission 44, Stephen Lawrence Trust, Centre for Young Lives, Youth Endowment Fund, Pooja Kanda OBE, Stephen Graham, Yemi Hughes, Dwayne Simpson Foundation, Catch 22, The James Brindley Foundation","HM The King's Youth Opportunities Summit to discuss reaching young people through community engagement, education and mentoring, civil society, sports and the arts"
Sir Keir Starmer,2025-07-22,Goldman Sachs,To discuss the global economic context and opportunities for the UK to attract investment and boost growth
